
#################################################################
# Summary Statistics
#################################################################

DIC = 2453.434

                             Mean    SD  2.5%    5%   25%   50%   75%   95% 97.5%
p.LO2.Ripening.Detritivore  0.024 0.029 0.001 0.001 0.006 0.014 0.031 0.080 0.107
p.LO2.Ripening.Rice.herb    0.911 0.170 0.237 0.474 0.926 0.964 0.981 0.994 0.996
p.LO2.Ripening.Tour.herb    0.065 0.159 0.000 0.001 0.004 0.015 0.040 0.455 0.700
p.LO3.Tillering.Detritivore 0.263 0.164 0.015 0.029 0.122 0.254 0.385 0.537 0.587
p.LO3.Tillering.Rice.herb   0.476 0.218 0.071 0.106 0.297 0.508 0.632 0.817 0.870
p.LO3.Tillering.Tour.herb   0.261 0.271 0.003 0.007 0.036 0.115 0.511 0.760 0.819
p.LO3.Ripening.Detritivore  0.019 0.025 0.001 0.001 0.004 0.011 0.025 0.065 0.087
p.LO3.Ripening.Rice.herb    0.913 0.176 0.207 0.451 0.932 0.971 0.987 0.996 0.997
p.LO3.Ripening.Tour.herb    0.068 0.167 0.000 0.000 0.003 0.011 0.043 0.493 0.736
p.MC1.Tillering.Detritivore 0.122 0.100 0.009 0.015 0.048 0.096 0.168 0.320 0.387
p.MC1.Tillering.Rice.herb   0.767 0.158 0.287 0.482 0.707 0.800 0.870 0.943 0.957
p.MC1.Tillering.Tour.herb   0.111 0.130 0.002 0.005 0.029 0.070 0.143 0.359 0.515
p.MC1.Flowering.Detritivore 0.036 0.037 0.002 0.003 0.011 0.024 0.047 0.114 0.142
p.MC1.Flowering.Rice.herb   0.902 0.154 0.287 0.636 0.905 0.947 0.970 0.989 0.992
p.MC1.Flowering.Tour.herb   0.062 0.141 0.001 0.001 0.008 0.019 0.046 0.316 0.648
p.MC1.Ripening.Detritivore  0.005 0.009 0.000 0.000 0.001 0.003 0.006 0.020 0.027
p.MC1.Ripening.Rice.herb    0.946 0.173 0.205 0.551 0.983 0.993 0.997 0.999 0.999
p.MC1.Ripening.Tour.herb    0.048 0.170 0.000 0.000 0.001 0.003 0.009 0.426 0.778
p.MC2.Seedling.Detritivore  0.126 0.128 0.005 0.008 0.035 0.084 0.175 0.376 0.467
p.MC2.Seedling.Rice.herb    0.780 0.185 0.261 0.398 0.700 0.833 0.915 0.974 0.982
p.MC2.Seedling.Tour.herb    0.094 0.136 0.001 0.002 0.013 0.041 0.115 0.393 0.498
p.MC2.Tillering.Detritivore 0.143 0.127 0.011 0.017 0.054 0.105 0.191 0.409 0.507
p.MC2.Tillering.Rice.herb   0.733 0.171 0.285 0.392 0.655 0.766 0.855 0.938 0.957
p.MC2.Tillering.Tour.herb   0.124 0.128 0.003 0.006 0.036 0.084 0.172 0.369 0.502
p.MC2.Flowering.Detritivore 0.047 0.058 0.002 0.003 0.012 0.027 0.059 0.155 0.212
p.MC2.Flowering.Rice.herb   0.887 0.151 0.361 0.591 0.877 0.935 0.966 0.988 0.992
p.MC2.Flowering.Tour.herb   0.066 0.129 0.001 0.002 0.009 0.024 0.060 0.300 0.549
p.MC2.Ripening.Detritivore  0.007 0.014 0.000 0.000 0.001 0.003 0.008 0.028 0.043
p.MC2.Ripening.Rice.herb    0.944 0.169 0.238 0.581 0.979 0.991 0.996 0.999 0.999
p.MC2.Ripening.Tour.herb    0.049 0.166 0.000 0.000 0.001 0.003 0.011 0.390 0.743
p.MC3.Tillering.Detritivore 0.406 0.214 0.032 0.061 0.243 0.396 0.563 0.774 0.826
p.MC3.Tillering.Rice.herb   0.331 0.163 0.068 0.097 0.214 0.311 0.428 0.635 0.701
p.MC3.Tillering.Tour.herb   0.263 0.197 0.005 0.011 0.096 0.234 0.393 0.628 0.703
p.MC3.Flowering.Detritivore 0.210 0.160 0.015 0.022 0.089 0.169 0.291 0.539 0.606
p.MC3.Flowering.Rice.herb   0.634 0.188 0.198 0.282 0.514 0.661 0.777 0.893 0.924
p.MC3.Flowering.Tour.herb   0.156 0.142 0.004 0.008 0.049 0.116 0.219 0.443 0.532
p.MC3.Ripening.Detritivore  0.047 0.060 0.001 0.002 0.010 0.024 0.059 0.166 0.218
p.MC3.Ripening.Rice.herb    0.878 0.169 0.278 0.505 0.866 0.935 0.971 0.991 0.993
p.MC3.Ripening.Tour.herb    0.076 0.150 0.001 0.001 0.008 0.023 0.063 0.390 0.607
p.MO1.Tillering.Detritivore 0.545 0.261 0.031 0.071 0.341 0.592 0.766 0.899 0.922
p.MO1.Tillering.Rice.herb   0.230 0.177 0.031 0.042 0.102 0.177 0.301 0.611 0.719
